chunk_id	doc_id	heading	damage_classes	clause_type	chunk_len	text
chunk_00000	policy_1_bharat_suraksha			general	266	BHARAT SURAKSHA MOTOR INSURANCE CO. LTD MOTOR PRIVATE CAR COMPREHENSIVE POLICY WORDINGS Policy Type: Comprehensive Own Damage and Third Party Liability Whereas the insured, by a proposal and declaration dated as stated in the Schedule, has applied to Bharat Suraksha
chunk_00001	policy_1_bharat_suraksha			general	193	Motor Insurance Company Limited (hereinafter referred to as the Company) for the insurance described herein, and has paid the premium stated in the Schedule as consideration for this insurance.
chunk_00002	policy_1_bharat_suraksha	SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED		coverage	266	SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED The Company will indemnify the insured against loss or damage to the vehicle insured and its accessories whilst thereon, arising from the following perils: (cid:127) By fire, explosion, self-ignition, or lightning.
chunk_00003	policy_1_bharat_suraksha	SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED		general	287	[SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED] (cid:127) By burglary, housebreaking, or theft. (cid:127) By riot and strike. (cid:127) By earthquake, including fire and shock damage. (cid:127) By flood, typhoon, hurricane, storm, tempest, inundation, cyclone, hailstorm, or frost.
chunk_00004	policy_1_bharat_suraksha	SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED	dent,scratch,crack,broken_lamp	definition	254	[SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED] (cid:127) By accidental external means, including collision, impact with another vehicle or stationary object, and resulting dents, scratches, cracks, and breakage of lamps or other exterior fittings.
chunk_00005	policy_1_bharat_suraksha	SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED	scratch	general	349	[SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED] (cid:127) By malicious act, including intentional scratching, keying, or deliberate damage to exterior panels. (cid:127) By terrorist activity. (cid:127) Whilst in transit by road, rail, inland waterway, lift, elevator, or air. (cid:127) By landslide or rockslide. DEPRECIATION ON REPLACED PARTS
chunk_00006	policy_1_bharat_suraksha	The following depreciation rates apply to parts necessarily replaced:	shattered_glass,flat_tyre	general	230	The following depreciation rates apply to parts necessarily replaced: (cid:127) For all rubber, nylon, plastic parts, tyres, tubes, batteries, and air bags: 50% depreciation. (cid:127) For fibre glass components: 30% depreciation.
chunk_00007	policy_1_bharat_suraksha	The following depreciation rates apply to parts necessarily replaced:	shattered_glass	general	362	[The following depreciation rates apply to parts necessarily replaced:] (cid:127) For all parts made of glass, including windscreen, rear windscreen, and door windows: Nil depreciation applies. The full replacement cost is recoverable. (cid:127) For all other parts including wooden parts: depreciation as per the schedule below. Age of Vehicle % of Depreciation
chunk_00008	policy_1_bharat_suraksha	The following depreciation rates apply to parts necessarily replaced:		sub_limit	369	[The following depreciation rates apply to parts necessarily replaced:] Age of Vehicle % of Depreciation Not exceeding 6 months Nil Exceeding 6 months but not exceeding 1 year 5% Exceeding 1 year but not exceeding 2 years 10% Exceeding 2 years but not exceeding 3 years 15% Exceeding 3 years but not exceeding 4 years 25% Exceeding 4 years but not exceeding 5 years 35%
chunk_00009	policy_1_bharat_suraksha	The following depreciation rates apply to parts necessarily replaced:		sub_limit	260	[The following depreciation rates apply to parts necessarily replaced:] Exceeding 5 years but not exceeding 10 years 40% Exceeding 10 years 50% Rate of Depreciation for Painting: A depreciation rate of 50% is applied only on the material cost of total painting
chunk_00010	policy_1_bharat_suraksha	The following depreciation rates apply to parts necessarily replaced:	flat_tyre	condition	326	[The following depreciation rates apply to parts necessarily replaced:] charges. In the case of a consolidated bill, the material component is deemed to be 25% of total painting charges. TYRE AND TUBE DAMAGE Damage to tyres and tubes is covered subject to a deduction of 50% of the cost of replacement, but only if the vehicle
chunk_00011	policy_1_bharat_suraksha	The following depreciation rates apply to parts necessarily replaced:	flat_tyre	exclusion	271	[The following depreciation rates apply to parts necessarily replaced:] insured has also sustained damage at the same time. Where the vehicle has not been damaged simultaneously, tyre and tube damage alone is not recoverable under this section. EXCLUSIONS UNDER SECTION I
chunk_00012	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:		exclusion	66	The Company shall not be liable to make any payment in respect of:
chunk_00013	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:		exclusion	246	[The Company shall not be liable to make any payment in respect of:] 1. Consequential loss, depreciation, wear and tear, or mechanical and electrical breakdown, failures, or breakages, even where such breakdown results in external visible damage.
chunk_00014	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:	dent,scratch	exclusion	273	[The Company shall not be liable to make any payment in respect of:] 2. Dents, scratches, or panel damage arising solely from gradual deterioration, road vibration over time, or corrosion, rather than from a specific identifiable accidental event covered under this policy.
chunk_00015	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:	scratch	exclusion	207	[The Company shall not be liable to make any payment in respect of:] 3. Scratch or abrasion damage attributable to routine car washing, polishing, or normal servicing activities, classified as wear and tear.
chunk_00016	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:	crack	exclusion	213	[The Company shall not be liable to make any payment in respect of:] 4. Cracks in the dashboard, door trims, or interior plastic components from thermal expansion or contraction due to ambient temperature changes.
chunk_00017	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:	dent,broken_lamp	exclusion	226	[The Company shall not be liable to make any payment in respect of:] 5. Lamp failure due to bulb burnout, filament failure, or electrical fault, without any accompanying physical impact or breakage of the lamp housing or lens.
chunk_00018	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:	broken_lamp	exclusion	181	[The Company shall not be liable to make any payment in respect of:] 6. Condensation or fogging inside lamp assemblies not accompanied by physical damage to the lamp housing itself.
chunk_00019	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:	scratch,crack,shattered_glass	exclusion	211	[The Company shall not be liable to make any payment in respect of:] 7. Windscreen scratches or minor surface marks on glass that do not constitute a break, crack, or chip impairing the driver's field of vision.
chunk_00020	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:	flat_tyre	exclusion	198	[The Company shall not be liable to make any payment in respect of:] 8. Tyre wear and tread depth below the legal minimum limit, or damage arising from driving on tyres in an unroadworthy condition.
chunk_00021	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:	flat_tyre	exclusion	204	[The Company shall not be liable to make any payment in respect of:] 9. Tyre or tube damage when the vehicle was being operated outside the geographical area specified in the Schedule at the time of loss.
chunk_00022	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:		exclusion	220	[The Company shall not be liable to make any payment in respect of:] 10. Loss or damage arising from contractual liability or arising out of use of the vehicle otherwise than in accordance with the Limitations as to Use.
chunk_00023	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:		exclusion	227	[The Company shall not be liable to make any payment in respect of:] 11. Any loss or damage sustained whilst the insured or driver was under the influence of intoxicating liquor or drugs. BHARAT SURAKSHA MOTOR INSURANCE CO. LTD
chunk_00024	policy_1_bharat_suraksha	SECTION II. SUM INSURED AND INSURED DECLARED VALUE (IDV)		sub_limit	292	SECTION II. SUM INSURED AND INSURED DECLARED VALUE (IDV) The Insured Declared Value (IDV) of the vehicle shall be the Sum Insured for the purpose of this policy, fixed at policy commencement based on the manufacturer's listed selling price adjusted for depreciation as per the schedule below:
chunk_00025	policy_1_bharat_suraksha	SECTION II. SUM INSURED AND INSURED DECLARED VALUE (IDV)		sub_limit	356	[SECTION II. SUM INSURED AND INSURED DECLARED VALUE (IDV)] Age of Vehicle % of Depreciation Not exceeding 6 months 5% Exceeding 6 months but not exceeding 1 year 15% Exceeding 1 year but not exceeding 2 years 20% Exceeding 2 years but not exceeding 3 years 30% Exceeding 3 years but not exceeding 4 years 40% Exceeding 4 years but not exceeding 5 years 50%
chunk_00026	policy_1_bharat_suraksha	SECTION II. SUM INSURED AND INSURED DECLARED VALUE (IDV)		sub_limit	194	[SECTION II. SUM INSURED AND INSURED DECLARED VALUE (IDV)] The insured vehicle shall be treated as a Constructive Total Loss if the aggregate cost of retrieval and repair exceeds 75% of the IDV.
chunk_00027	policy_1_bharat_suraksha	SECTION III. DEDUCTIBLE		sub_limit	277	SECTION III. DEDUCTIBLE The Company shall not be liable for the first Rs. 1,000 of each and every claim under Section I of this policy. This deductible applies to each occurrence independently, including occurrences giving rise to a Total Loss or Constructive Total Loss claim.
chunk_00028	policy_1_bharat_suraksha	SECTION IV. THIRD PARTY LIABILITY		coverage	273	SECTION IV. THIRD PARTY LIABILITY Subject to the limits of liability in the Schedule, the Company will indemnify the insured against all sums the insured becomes legally liable to pay in respect of death of or bodily injury to any person, or damage to third-party property,
chunk_00029	policy_1_bharat_suraksha	SECTION IV. THIRD PARTY LIABILITY		exclusion	322	[SECTION IV. THIRD PARTY LIABILITY] caused by or arising from use of the vehicle, as required under the Motor Vehicles Act. Provided always that the Company shall not be liable for death, injury, or property damage arising beyond the limits of any public carriageway in connection with loading or unloading of the vehicle.
chunk_00030	policy_1_bharat_suraksha	SECTION V. ADD-ON COVERS		coverage	295	SECTION V. ADD-ON COVERS Add-On 1: Nil Depreciation Cover (Zero Dep) In the event of a partial loss claim, no depreciation deduction shall apply to the cost of parts replaced, subject to payment of additional premium. This cover is available for vehicles not exceeding 5 years from date of first
chunk_00031	policy_1_bharat_suraksha	SECTION V. ADD-ON COVERS	flat_tyre	coverage	301	[SECTION V. ADD-ON COVERS] registration. Add-On 2: Roadside Assistance Emergency towing assistance is provided up to 50 km free of charge in the event of accident or breakdown. Flat tyre replacement using the vehicle's stepney is included. Fuel delivery of up to 5 litres is chargeable at actual cost.
chunk_00032	policy_1_bharat_suraksha	SECTION V. ADD-ON COVERS		coverage	283	[SECTION V. ADD-ON COVERS] Add-On 3: Engine Protection Cover Consequential damage to engine parts and gearbox components arising from water ingression due to flood or inundation is covered under this add-on, subject to the claim under Section I being admissible and the vehicle being
chunk_00033	policy_1_bharat_suraksha	SECTION V. ADD-ON COVERS		coverage	289	[SECTION V. ADD-ON COVERS] retrieved from the waterlogged area within 72 hours. Exclusion under Engine Protection: Damage to engine or gearbox arising from delay in intimation, from driving the vehicle after it has ingested water, or from gradual corrosion of engine parts, is not covered.
chunk_00034	policy_1_bharat_suraksha	A No Claim Bonus discount is applicable on Own Damage premium at renewal:		exclusion	284	A No Claim Bonus discount is applicable on Own Damage premium at renewal: Claim History NCB Discount on OD Premium 1 claim-free year 20% 2 consecutive claim-free years 25% 3 consecutive claim-free years 35% 4 consecutive claim-free years 45% 5 or more consecutive claim-free years 50%
chunk_00035	policy_1_bharat_suraksha	A No Claim Bonus discount is applicable on Own Damage premium at renewal:		exclusion	160	[A No Claim Bonus discount is applicable on Own Damage premium at renewal:] NCB reverts to 0% at the next renewal if any claim is made during the policy period.
chunk_00036	policy_1_bharat_suraksha	SECTION VII. GENERAL CONDITIONS		general	223	[SECTION VII. GENERAL CONDITIONS] 1. The insured must give immediate written notice to the Company upon the occurrence of any accidental loss or damage. In the case of theft, immediate notice to the police is also required.
chunk_00037	policy_1_bharat_suraksha	SECTION VII. GENERAL CONDITIONS		general	152	[SECTION VII. GENERAL CONDITIONS] 2. No admission, offer, or promise of payment shall be made by the insured without the written consent of the Company.
chunk_00038	policy_1_bharat_suraksha	SECTION VII. GENERAL CONDITIONS		general	152	[SECTION VII. GENERAL CONDITIONS] 3. The insured shall take all reasonable steps to safeguard the vehicle from further loss or damage after an accident.
chunk_00039	policy_1_bharat_suraksha	SECTION VII. GENERAL CONDITIONS		coverage	195	[SECTION VII. GENERAL CONDITIONS] 4. If a dispute arises as to the quantum payable under this policy, the matter shall be referred to arbitration under the Arbitration and Conciliation Act, 1996.
chunk_00040	policy_1_bharat_suraksha	SECTION VII. GENERAL CONDITIONS		condition	171	[SECTION VII. GENERAL CONDITIONS] 5. The due observance of all terms, conditions, and endorsements of this policy is a condition precedent to any liability of the Company.
chunk_00041	policy_1_bharat_suraksha	SECTION VIII. CLAIM PROCEDURE		general	249	SECTION VIII. CLAIM PROCEDURE (cid:127) Intimate the claim to the Company within 48 hours of the incident. (cid:127) Do not move or repair the vehicle until a surveyor has been appointed, except for essential emergency repairs not exceeding Rs. 500.
chunk_00042	policy_1_bharat_suraksha	SECTION VIII. CLAIM PROCEDURE		general	242	[SECTION VIII. CLAIM PROCEDURE] exceeding Rs. 500. (cid:127) Submit completed claim form, RC copy, driving licence, FIR (if applicable), and repair estimate. (cid:127) Payment will be made within 7 working days of completion of documentation.
chunk_00043	policy_1_bharat_suraksha	SECTION IX. GENERAL EXCEPTIONS		coverage	266	SECTION IX. GENERAL EXCEPTIONS This policy does not cover loss, damage, or liability arising from nuclear weapons, ionising radiation, war, invasion, civil war, mutiny, or warlike operations. Claims where the vehicle was being used outside the permitted geographical
chunk_00044	policy_1_bharat_suraksha	SECTION IX. GENERAL EXCEPTIONS		exclusion	332	[SECTION IX. GENERAL EXCEPTIONS] area, or in violation of the Driver's Clause, are also excluded. Insurance is the subject matter of solicitation. Please read all terms and conditions carefully. This is a synthetic specimen policy issued for educational and research purposes only and does not constitute a valid insurance contract.
chunk_00045	policy_2_safedrive_assurance			coverage	247	SAFEDRIVE ASSURANCE CORPORATION PRIVATE MOTOR VEHICLE OWN DAMAGE POLICY Standalone Own Damage Cover with Nil Depreciation Add-On This policy document sets out the full terms and conditions of the insurance contract between the insured named in the
chunk_00046	policy_2_safedrive_assurance			general	138	Schedule and SafeDrive Assurance Corporation. The Schedule, this document, and any endorsements together form the entire policy agreement.
chunk_00047	policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:		coverage	291	We will pay for physical loss or damage to your vehicle caused by: (cid:127) Fire, explosion, lightning, or self-ignition. (cid:127) Theft, burglary, or housebreaking. (cid:127) Riots, strikes, or civil disturbance. (cid:127) Earthquake, flood, cyclone, hailstorm, or other natural calamity.
chunk_00048	policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	dent,scratch	coverage	342	[We will pay for physical loss or damage to your vehicle caused by:] (cid:127) Physical impact damage caused by collision with another vehicle, animal, or fixed object, resulting in dents to panels, bumpers, or wheel arches. (cid:127) Surface damage including paint and body abrasions arising from collision, intentional acts, or contact with
chunk_00049	policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	dent,crack	coverage	276	[We will pay for physical loss or damage to your vehicle caused by:] abrasive surfaces where an identifiable accidental event can be established. (cid:127) Structural fractures to body panels, bumpers, and exterior trim resulting from impact, collision, or accidental contact.
chunk_00050	policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	dent,broken_lamp,shattered_glass	coverage	354	[We will pay for physical loss or damage to your vehicle caused by:] contact. (cid:127) Damage to lighting units including headlamp assemblies, tail lamp clusters, fog lamps, indicator units, and reflectors, caused by impact or accident. (cid:127) Windscreen, rear windscreen, and door window glass damage - glass is covered at nil depreciation. The full
chunk_00051	policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	shattered_glass	coverage	296	[We will pay for physical loss or damage to your vehicle caused by:] cost of windscreen replacement is payable without any deduction for the age of the vehicle. (cid:127) Landslide or rockslide. (cid:127) Transit damage during transportation by road, rail, or sea. PART A1. GLASS COVERAGE DETAILS
chunk_00052	policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	shattered_glass	coverage	330	[We will pay for physical loss or damage to your vehicle caused by:] PART A1. GLASS COVERAGE DETAILS Glass components of the vehicle including the front windscreen, rear windscreen, quarter glass panels, and door windows are covered without any depreciation deduction regardless of vehicle age. This means the full invoice cost of
chunk_00053	policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	shattered_glass	coverage	134	[We will pay for physical loss or damage to your vehicle caused by:] glass replacement at an authorised service centre is recoverable.
chunk_00054	policy_2_safedrive_assurance	What is NOT covered under glass:	shattered_glass	coverage	212	What is NOT covered under glass: (cid:127) Internal rear-view mirror glass that is not part of the vehicle's main glazing. (cid:127) Sunroof and panoramic roof glass, unless specifically endorsed on the Schedule.
chunk_00055	policy_2_safedrive_assurance	What is NOT covered under glass:	scratch,shattered_glass	coverage	327	[What is NOT covered under glass:] (cid:127) Superficial glass scratches or micro-abrasions that do not constitute a break or chip. (cid:127) Glass damage sustained while the vehicle is in commercial transit not covered under this policy. (cid:127) Tinted film or protective coatings applied to glass after vehicle manufacture.
chunk_00056	policy_2_safedrive_assurance	What is NOT covered under glass:	shattered_glass,flat_tyre	coverage	293	[What is NOT covered under glass:] PART A2. TYRE COVERAGE DETAILS Tyre damage is covered subject to a deduction of 50% of the cost of replacement of the damaged tyre and tube. This cover applies only if the vehicle itself has also sustained damage in the same incident. Stand-alone tyre claims
chunk_00057	policy_2_safedrive_assurance	What is NOT covered under glass:	dent,shattered_glass	coverage	93	[What is NOT covered under glass:] without concurrent vehicle body damage are not admissible.
chunk_00058	policy_2_safedrive_assurance	What is NOT covered for tyres:	crack,flat_tyre	coverage	220	What is NOT covered for tyres: (cid:127) Tyre wear, sidewall cracking from age, or tread depth below 1.6mm (legal minimum). (cid:127) Damage to run-flat tyres used beyond the manufacturer's specified zero-pressure range.
